"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "XML", "JSON", "HTML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\HP\Desktop\Smash apartments\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"c:\Users\HP\Desktop\Smash apartments\client\context\userContext.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\HP\Desktop\Smash apartments\client\eslint.config.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\HP\Desktop\Smash apartments\client\index.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 0, 1, 9, 50
"c:\Users\HP\Desktop\Smash apartments\client\package-lock.json", "JSON", 0, 0, 0, 0, 7600, 0, 0, 0, 0, 1, 7601
"c:\Users\HP\Desktop\Smash apartments\client\package.json", "JSON", 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 54
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\4 Upcoming reservations.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\account.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\check.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\cil_flight-takeoff.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\drop_icon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\emojione-monotone_houses.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\facebook.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\flight_icon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\flowbite_x-solid.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\goto.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\help.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\heroicons_home.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\ic_outline-local-hotel.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\mdi_hotel-outline.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\mdi_instagram.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\payment.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\ph_building-office.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\ph_car.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\preference.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\rating.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\report.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\solar_user-outline.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\Smash apartments\client\public\assets\tabler_calendar.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
